Hotel_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Atuona,PF,79.56,clear sky,-9.8,-139.0333,
14,Coahuayana,MX,86.86,broken clouds,18.7333,-103.6833,
19,Hithadhoo,MV,83.71,few clouds,-0.6,73.0833,
21,Faanui,PF,79.84,overcast clouds,-16.4833,-151.75,
23,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,
26,Trairi,BR,77.45,clear sky,-3.2778,-39.2689,
30,Rikitea,PF,75.34,overcast clouds,-23.1203,-134.9692,
31,Ishigaki,JP,80.73,broken clouds,24.3448,124.1572,
36,Vung Tau,VN,82.4,scattered clouds,10.345999999999998,107.0843,
38,Morant Bay,JM,83.82,broken clouds,17.8815,-76.4093,
42,Pandan,PH,84.99,overcast clouds,14.0453,124.1694,
53,Gat,IL,81.39,clear sky,31.61,34.7642,
60,Kapaa,US,84.52,clear sky,22.0752,-159.319,
70,Tamandare,BR,75.4,light rain,-8.7597,-35.1047,
73,Juazeiro,BR,75.38,light rain,-9.4117,-40.4986,
75,Ambulu,ID,77.31,overcast clouds,-8.345,113.6058,
78,Puerto Penasco,MX,76.91,clear sky,31.3167,-113.5333,
81,Sitamau,IN,81.75,few clouds,24.0167,75.35,
82,Georgetown,MY,80.89,few clouds,5.4112,100.3354,
86,Hajipur,IN,75.18,scattered clouds,25.6833,85.2167,
92,Anta,IN,90.82,scattered clouds,25.15,76.3,
100,Dingle,PH,83.32,broken clouds,10.9995,122.6711,
101,Ankang,CN,82.65,overcast clouds,32.68,109.0172,
105,Araouane,ML,94.5,clear sky,18.9048,-3.5265,
106,Simpang,ID,75.49,broken clouds,-1.2667,104.0833,
112,Phan Thiet,VN,82.87,few clouds,10.9333,108.1,
115,Tahta,EG,82.72,scattered clouds,26.7693,31.5021,
119,Veraval,IN,82.65,scattered clouds,20.9,70.3667,
122,Nakusp,CA,78.48,overcast clouds,50.2499,-117.8023,
129,Hilo,US,87.28,few clouds,19.7297,-155.09,
134,Jalu,LY,81.32,clear sky,29.0331,21.5482,
137,Ende,ID,79.07,overcast clouds,-8.8432,121.6623,
142,Epe,NG,78.62,overcast clouds,6.5841,3.9834,
143,Smoky Lake,CA,77.16,broken clouds,54.1169,-112.4686,
145,Bandarbeyla,SO,78.8,overcast clouds,9.4942,50.8122,
146,Kavieng,PG,82.6,moderate rain,-2.5744,150.7967,
150,Isangel,VU,77.11,broken clouds,-19.55,169.2667,
152,Lorengau,PG,82.24,light rain,-2.0226,147.2712,
153,Gilbues,BR,75.06,scattered clouds,-9.8317,-45.3439,
157,Ahmadpur East,PK,91.51,clear sky,29.1431,71.2598,
159,Rio Branco,BR,79.41,scattered clouds,-9.9747,-67.81,
164,Baghdad,IQ,87.28,few clouds,33.3406,44.4009,
167,Yurimaguas,PE,80.1,overcast clouds,-5.9,-76.0833,
168,Avera,US,76.66,clear sky,33.194,-82.5271,
173,Gazanjyk,TM,79.81,clear sky,39.2446,55.5154,
174,Puerto Cabello,VE,78.84,scattered clouds,10.4731,-68.0125,
180,Victoria,HK,86.97,overcast clouds,22.2855,114.1577,
181,Lamu,KE,77.22,scattered clouds,-2.2717,40.902,
184,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,
189,Iquitos,PE,80.64,light rain,-3.7481,-73.2472,
192,Omboue,GA,76.42,overcast clouds,-1.5746,9.2618,
196,Dawei,MM,78.46,overcast clouds,14.0833,98.2,
203,Tutoia,BR,78.98,few clouds,-2.7619,-42.2744,
204,Katobu,ID,79.88,broken clouds,-4.9408,122.5276,
205,Zhob,PK,77.92,clear sky,31.3411,69.4481,
207,Gamba,GA,76.14,overcast clouds,-2.65,10.0,
208,Mana,GF,77.7,overcast clouds,5.6592,-53.7767,
210,West Wendover,US,81.61,clear sky,40.7391,-114.0733,
217,Canton,CN,84.94,overcast clouds,23.1167,113.25,
219,Mayumba,GA,76.41,overcast clouds,-3.432,10.6554,
221,Champerico,GT,85.35,scattered clouds,14.3,-91.9167,
223,Butaritari,KI,83.07,light rain,3.0707,172.7902,
224,Mandera,KE,77.52,broken clouds,3.9366,41.867,
226,Loralai,PK,78.8,scattered clouds,30.3705,68.598,
228,Barinas,VE,87.84,scattered clouds,8.6226,-70.2075,
234,Weligama,LK,80.1,overcast clouds,5.9667,80.4167,
237,Cayenne,GF,80.1,clear sky,4.9333,-52.3333,
