City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,28.06,100,75,8.05,broken clouds
1,Punta Arenas,CL,-53.15,-70.9167,33.91,69,75,6.71,broken clouds
2,Marawi,PH,7.9986,124.2928,67.64,91,100,2.55,overcast clouds
3,Cootamundra,AU,-34.65,148.0333,48.94,54,0,3.29,clear sky
4,Upernavik,GL,72.7868,-56.1549,31.6,93,100,4.54,overcast clouds
5,Busselton,AU,-33.65,115.3333,51.08,68,89,12.88,overcast clouds
6,Atuona,PF,-9.8,-139.0333,79.56,64,6,9.26,clear sky
7,Karratha,AU,-20.7377,116.8463,67.82,69,6,11.63,clear sky
8,East London,ZA,-33.0153,27.9116,56.59,65,87,8.81,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,49.48,98,100,4.25,light rain
10,Katherine,AU,-14.4667,132.2667,70.12,68,96,10.67,overcast clouds
11,Kennett,US,36.2362,-90.0556,73.63,29,1,5.75,clear sky
12,Berlevag,NO,70.8578,29.0864,42.33,96,100,21.03,overcast clouds
13,Bethanien,NA,-26.502,17.1583,56.34,33,7,4.65,clear sky
14,Coahuayana,MX,18.7333,-103.6833,86.86,48,83,5.64,broken clouds
15,Mount Gambier,AU,-37.8333,140.7667,42.71,70,57,9.22,broken clouds
16,Dharchula,IN,29.85,80.5333,68.45,79,75,4.21,broken clouds
17,Vaini,TO,-21.2,-175.2,73.56,83,90,6.91,light rain
18,Bredasdorp,ZA,-34.5322,20.0403,45.72,93,85,4.7,overcast clouds
19,Hithadhoo,MV,-0.6,73.0833,83.71,71,14,18.79,few clouds
20,Bengkulu,ID,-3.8004,102.2655,74.98,87,63,2.95,broken clouds
21,Faanui,PF,-16.4833,-151.75,79.84,73,99,16.11,overcast clouds
22,Pevek,RU,69.7008,170.3133,39.45,66,8,3.98,clear sky
23,Avarua,CK,-21.2078,-159.775,78.85,57,52,11.5,broken clouds
24,Katsuura,JP,35.1333,140.3,73.24,66,6,14.83,clear sky
25,Lebu,CL,-37.6167,-73.65,53.8,94,100,10.36,overcast clouds
26,Trairi,BR,-3.2778,-39.2689,77.45,83,4,8.7,clear sky
27,Aykhal,RU,66.0,111.5,58.44,36,7,6.96,clear sky
28,Burns Lake,CA,54.2331,-125.7533,54.82,70,95,5.21,overcast clouds
29,Kahta,TR,37.7855,38.6237,72.77,40,0,0.87,clear sky
30,Rikitea,PF,-23.1203,-134.9692,75.34,67,88,12.26,overcast clouds
31,Ishigaki,JP,24.3448,124.1572,80.73,94,75,4.61,broken clouds
32,Ocamonte,CO,6.3401,-73.1223,64.8,97,94,1.57,overcast clouds
33,Yellowknife,CA,62.456,-114.3525,51.3,57,75,1.01,broken clouds
34,Port Elizabeth,ZA,-33.918,25.5701,59.29,72,0,10.36,clear sky
35,Ribeira Grande,PT,38.5167,-28.7,64.0,84,81,6.35,broken clouds
36,Vung Tau,VN,10.346,107.0843,82.4,81,48,9.64,scattered clouds
37,Jamestown,US,42.097,-79.2353,60.39,58,90,8.05,overcast clouds
38,Morant Bay,JM,17.8815,-76.4093,83.82,80,66,7.81,broken clouds
39,Albany,US,42.6001,-73.9662,48.38,94,100,5.26,moderate rain
40,Thompson,CA,55.7435,-97.8558,59.16,47,20,11.5,few clouds
41,Cherskiy,RU,68.75,161.3,62.42,28,0,4.9,clear sky
42,Pandan,PH,14.0453,124.1694,84.99,68,94,1.63,overcast clouds
43,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,46,20,6.91,few clouds
44,Mayo,US,38.8876,-76.5119,55.51,86,90,5.99,overcast clouds
45,Linxia,CN,35.6003,103.2064,61.0,43,99,4.65,overcast clouds
46,Fort Nelson,CA,58.8053,-122.7002,67.59,28,75,3.44,broken clouds
47,Gardez,AF,33.5974,69.2259,58.87,37,0,4.65,clear sky
48,New Norfolk,AU,-42.7826,147.0587,45.75,67,50,3.2,scattered clouds
49,Carauari,BR,-4.8828,-66.8958,74.93,96,75,2.35,broken clouds
50,Dergachi,RU,51.2328,48.7659,59.97,94,100,6.44,overcast clouds
51,Ponta Do Sol,PT,32.6667,-17.1,65.03,51,21,3.65,few clouds
52,Castro,BR,-24.7911,-50.0119,56.25,99,100,3.09,overcast clouds
53,Gat,IL,31.61,34.7642,81.39,33,9,6.76,clear sky
54,Puerto Ayora,EC,-0.7393,-90.3518,74.55,85,20,8.01,few clouds
55,Hobart,AU,-42.8794,147.3294,46.11,85,40,4.63,scattered clouds
56,Leh,IN,34.1667,77.5833,48.43,57,100,3.33,overcast clouds
57,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,82,75,6.17,broken clouds
58,Brigantine,US,39.4101,-74.3646,53.02,95,90,18.19,overcast clouds
59,Bereda,ES,43.2686,-7.5406,55.58,100,7,3.44,clear sky
60,Kapaa,US,22.0752,-159.319,84.52,78,1,4.0,clear sky
61,Chake Chake,TZ,-5.2459,39.7666,74.16,87,27,6.24,scattered clouds
62,Chicama,PE,-7.8447,-79.1469,64.94,84,60,6.73,broken clouds
63,West Des Moines,US,41.572,-93.7453,65.26,58,90,4.0,overcast clouds
64,Olinda,BR,-8.0089,-34.8553,73.13,94,75,7.09,light rain
65,Batagay,RU,67.6333,134.6333,48.47,81,100,3.33,overcast clouds
66,Cape Town,ZA,-33.9258,18.4232,56.12,90,0,1.99,light rain
67,Carnarvon,AU,-24.8667,113.6333,53.67,100,52,6.91,broken clouds
68,Canto Do Buriti,BR,-8.11,-42.9444,74.84,43,49,4.41,scattered clouds
69,Klaksvik,FO,62.2266,-6.589,50.92,93,12,20.22,few clouds
70,Tamandare,BR,-8.7597,-35.1047,75.4,88,78,5.28,light rain
71,Severo-Kurilsk,RU,50.6789,156.125,38.98,97,100,22.44,moderate rain
72,Maua,BR,-23.6678,-46.4614,63.86,93,93,6.44,overcast clouds
73,Juazeiro,BR,-9.4117,-40.4986,75.38,69,0,4.61,light rain
74,Te Anau,NZ,-45.4167,167.7167,47.3,96,100,5.55,overcast clouds
75,Ambulu,ID,-8.345,113.6058,77.31,85,100,3.06,overcast clouds
76,Mahebourg,MU,-20.4081,57.7,72.25,94,20,6.91,light rain
77,Tiksi,RU,71.6872,128.8694,36.91,84,78,6.44,broken clouds
78,Puerto Penasco,MX,31.3167,-113.5333,76.91,71,1,5.99,clear sky
79,Khatanga,RU,71.9667,102.5,44.58,81,70,8.88,broken clouds
80,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.1,98,64,2.53,broken clouds
81,Sitamau,IN,24.0167,75.35,81.75,64,11,13.6,few clouds
82,Georgetown,MY,5.4112,100.3354,80.89,90,20,3.44,few clouds
83,Zhigansk,RU,66.7697,123.3711,54.7,46,4,10.98,clear sky
84,Kamenka,RU,51.3223,42.7678,54.73,96,73,10.87,broken clouds
85,Khandbari,NP,27.3747,87.2039,69.91,83,16,2.89,few clouds
86,Hajipur,IN,25.6833,85.2167,75.18,94,40,5.86,scattered clouds
87,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,58,1,5.75,clear sky
88,Qaanaaq,GL,77.484,-69.3632,29.57,95,100,0.6,overcast clouds
89,Kenai,US,60.5544,-151.2583,61.03,53,90,12.66,overcast clouds
90,Clyde River,CA,70.4692,-68.5914,28.63,93,90,6.91,overcast clouds
91,Nadym,RU,65.5333,72.5167,37.62,69,82,13.85,broken clouds
92,Anta,IN,25.15,76.3,90.82,32,50,15.95,scattered clouds
93,Barrow,US,71.2906,-156.7887,33.82,75,90,12.66,overcast clouds
94,Bluff,NZ,-46.6,168.3333,49.8,89,100,21.63,overcast clouds
95,Saint Anthony,US,45.0205,-93.218,65.34,78,75,4.0,broken clouds
96,Souillac,MU,-20.5167,57.5167,72.36,94,20,7.54,light rain
97,Hami,CN,42.8,93.45,69.12,10,0,9.28,clear sky
98,Yulara,AU,-25.2406,130.9889,55.24,41,90,4.61,overcast clouds
99,Saskylakh,RU,71.9167,114.0833,39.97,78,62,4.21,broken clouds
100,Dingle,PH,10.9995,122.6711,83.32,78,77,2.66,broken clouds
101,Ankang,CN,32.68,109.0172,82.65,74,86,0.47,overcast clouds
102,Tasiilaq,GL,65.6145,-37.6368,37.56,96,100,8.41,overcast clouds
103,Broken Hill,AU,-31.95,141.4333,47.91,37,32,6.91,scattered clouds
104,Namie,JP,37.4833,141.0,69.96,61,0,6.33,clear sky
105,Araouane,ML,18.9048,-3.5265,94.5,9,5,6.55,clear sky
