City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kaitangata,NZ,2021-05-28 20:42:14,-46.2817,169.8464,52.93,85,100,12.55
1,Tiksi,RU,2021-05-28 20:42:14,71.6872,128.8694,32.56,97,100,13.11
2,Busselton,AU,2021-05-28 20:42:14,-33.65,115.3333,59.09,89,69,10.67
3,Coffs Harbour,AU,2021-05-28 20:42:15,-30.3,153.1333,53.56,62,97,13.8
4,Anadyr,RU,2021-05-28 20:42:15,64.75,177.4833,41.5,56,0,4.0
5,Okhotsk,RU,2021-05-28 20:42:16,59.3833,143.3,37.89,82,100,11.88
6,Lagoa,PT,2021-05-28 20:42:16,39.05,-27.9833,61.75,72,97,9.91
7,Tsybuliv,UA,2021-05-28 20:42:16,49.0766,29.8461,58.08,95,96,9.26
8,Majene,ID,2021-05-28 20:42:17,-3.5403,118.9707,77.32,90,59,9.26
9,Punta Arenas,CL,2021-05-28 20:42:17,-53.15,-70.9167,37.51,60,40,20.27
10,Kapaa,US,2021-05-28 20:42:17,22.0752,-159.319,82.38,73,20,4.0
11,Ushuaia,AR,2021-05-28 20:40:18,-54.8,-68.3,31.66,100,90,29.93
12,Sulangan,PH,2021-05-28 20:42:18,11.1373,123.7228,83.93,74,100,5.08
13,Prince Rupert,CA,2021-05-28 20:42:18,54.3161,-130.3201,51.49,71,90,5.75
14,Mataura,NZ,2021-05-28 20:42:19,-46.1927,168.8643,49.48,98,100,4.14
15,Port Hedland,AU,2021-05-28 20:42:19,-20.3167,118.5667,69.85,56,81,5.75
16,Sitka,US,2021-05-28 20:42:19,57.0531,-135.33,46.29,87,90,11.5
17,Sao Filipe,CV,2021-05-28 20:42:20,14.8961,-24.4956,74.32,72,16,11.79
18,Phangnga,TH,2021-05-28 20:42:20,8.4509,98.5298,82.44,95,79,2.71
19,Rio Gallegos,AR,2021-05-28 20:42:20,-51.6226,-69.2181,37.45,56,75,18.41
20,Norman Wells,CA,2021-05-28 20:42:21,65.282,-126.8329,35.64,69,75,14.97
21,Victoria,HK,2021-05-28 20:42:21,22.2855,114.1577,86.32,85,89,1.01
22,Tres Arroyos,AR,2021-05-28 20:42:21,-38.3739,-60.2798,54.09,58,93,16.89
23,Atuona,PF,2021-05-28 20:42:22,-9.8,-139.0333,79.36,75,7,15.55
24,Saskylakh,RU,2021-05-28 20:42:22,71.9167,114.0833,34.48,79,57,8.5
25,New Norfolk,AU,2021-05-28 20:42:22,-42.7826,147.0587,42.3,73,15,1.01
26,Hobart,AU,2021-05-28 20:42:23,-42.8794,147.3294,42.66,78,75,5.3
27,Barbate,ES,2021-05-28 20:42:23,36.1924,-5.9219,71.58,82,100,12.08
28,Caramoan,PH,2021-05-28 20:42:23,13.7707,123.8631,79.65,88,75,3.33
29,Saint-Georges,GD,2021-05-28 20:42:24,12.0564,-61.7485,85.68,66,40,18.41
30,Oksbol,DK,2021-05-28 20:42:24,55.6268,8.2876,48.81,85,37,10.76
31,Vaini,TO,2021-05-28 20:42:24,-21.2,-175.2,71.76,88,75,1.14
32,Qaqortoq,GL,2021-05-28 20:42:25,60.7167,-46.0333,52.3,57,99,4.18
33,Gondal,IN,2021-05-28 20:42:25,21.9667,70.8,89.02,69,6,11.77
34,Puerto Ayora,EC,2021-05-28 20:42:25,-0.7393,-90.3518,80.56,88,71,4.0
35,Ilulissat,GL,2021-05-28 20:42:26,69.2167,-51.1,46.42,46,3,4.61
36,Bethel,US,2021-05-28 20:42:26,41.3712,-73.414,62.37,61,100,9.19
37,Kota Kinabalu,MY,2021-05-28 20:42:26,5.9749,116.0724,78.78,89,20,3.44
38,Westport,US,2021-05-28 20:42:27,41.1415,-73.3579,63.63,64,90,1.99
39,Souillac,MU,2021-05-28 20:42:27,-20.5167,57.5167,72.36,94,40,5.86
40,Nikolskoye,RU,2021-05-28 20:42:27,59.7035,30.7861,51.4,78,87,6.06
41,Chifeng,CN,2021-05-28 20:42:28,42.2683,118.9636,51.6,64,93,7.9
42,Karpinsk,RU,2021-05-28 20:42:28,59.7654,60.0085,53.06,87,100,3.94
43,Pittsfield,US,2021-05-28 20:42:28,42.4501,-73.2454,57.79,71,90,4.0
44,Nanortalik,GL,2021-05-28 20:42:29,60.1432,-45.2371,39.54,81,100,1.14
45,Iquique,CL,2021-05-28 20:42:29,-20.2208,-70.1431,68.04,79,32,4.03
46,Acarau,BR,2021-05-28 20:42:30,-2.8856,-40.12,79.72,79,4,11.99
47,Liancheng,CN,2021-05-28 20:42:30,24.0519,105.075,66.7,97,97,2.01
48,Mar Del Plata,AR,2021-05-28 20:39:20,-38.0023,-57.5575,59.09,55,0,1.01
49,Taft,IR,2021-05-28 20:42:31,31.7471,54.2088,78.75,14,0,5.88
50,Canmore,CA,2021-05-28 20:42:31,51.0834,-115.3521,57.69,40,100,16.55
51,Bonthe,SL,2021-05-28 20:42:32,7.5264,-12.505,82.33,78,71,8.19
